CompanyName;tickers;country;industry;euroidx;ISIN
Vaisala Oyj A;VAIAS.HE;FI;IND;;FI0009900682
Verkkokauppa.com Oyj;VERK.HE;FI;SER;;FI4000049812
Viking Line Abp;VIK1V.HE;FI;SER;;FI0009005250
Aspocomp Group Oyj;ACG1V.HE;FI;IND;;FI0009008080
Apetit Oyj;APETIT.HE;FI;RET;;FI0009003503
Biohit Oyj B;BIOBV.HE;FI;HEALTH;;FI0009005482
Consti Oyj;CONSTI.HE;FI;IND;;FI4000178256
Componenta Oyj;CTH1V.HE;FI;IND;;FI0009010110
Digia Oyj;DIGIA.HE;FI;TECH;;FI0009007983
Digitalist Group Oyj;DIGIGR.HE;FI;TECH;;FI0009008007
Dovre Group Oyj;DOV1V.HE;FI;IND;;FI0009008098
EAB Group Oyj;EAB.HE;FI;BAN;;FI4000157441
Elecster Oyj A;ELEAV.HE;FI;IND;;FI0009900658
Endomines;ENDOM.HE;FI;MAT;;SE0008294334
Enedo Oyj;ENEDO.HE;FI;IND;;FI4000415252
Exel Composites Oyj;EXL1V.HE;FI;IND;;FI0009007306
Glaston Oyj Abp;GLA1V.HE;FI;IND;;FI4000369657
Harvia Oyj;HARVIA.HE;FI;RET;;FI4000306873
Honkarakenne Oyj B;HONBS.HE;FI;RET;;FI0009900104
Incap Oyj;ICP1V.HE;FI;IND;;FI0009006407
Innofactor Plc;IFA1V.HE;FI;TECH;;FI0009007637
Ilkka-Yhtymä Oyj 2;ILK2S.HE;FI;SER;;FI0009800205
Investors House Oyj;INVEST.HE;FI;BAN;;FI0009900559
Kesla Oyj A;KELAS.HE;FI;IND;;FI0009900237
Keskisuomalainen Oyj A;KSLAV.HE;FI;SER;;FI0009007546
Martela Oyj A;MARAS.HE;FI;RET;;FI0009900385
Neo Industrial Oyj;NEO1V.HE;FI;IND;;FI0009800296
Nixu Oyj;NIXU.HE;FI;TECH;;FI0009008387
Nurminen Logistics Oyj;NLG1V.HE;FI;IND;;FI0009900187
Optomed Oyj;OPTOMED.HE;FI;HEALTH;;FI4000410881
Ovaro Kiinteistösijoitus Oyj;OVARO.HE;FI;BAN;;FI4000349113
Panostaja Oyj;PNA1V.HE;FI;BAN;;FI0009800379
PunaMusta Media Oyj;PUMU.HE;FI;SER;;FI0009900468
QPR Software Oyj;QPR1V.HE;FI;TECH;;FI0009008668
Rapala VMC Oyj;RAP1V.HE;FI;RET;;FI0009007355
Raute Oyj A;RAUTE.HE;FI;IND;;FI0009004741
Robit Oyj;ROBIT.HE;FI;IND;;FI4000150016
Saga Furs Oyj C;SAGCV.HE;FI;RET;;FI0009800551
Sievi Capital Oyj;SIEVI.HE;FI;BAN;;FI0009008924
Siili Solutions Oyj;SIILI.HE;FI;TECH;;FI4000043435
Solteq Oyj;SOLTEQ.HE;FI;TECH;;FI0009007991
Soprano Oyj;SOPRA.HE;FI;TECH;;FI0009012793
Sotkamo Silver AB;SOSI1.HE;FI;MAT;;SE0001057910
SRV Yhtiöt Oyj;SRV1V.HE;FI;IND;;FI0009015309
SSH Communications Security;SSH1V.HE;FI;TECH;;FI0009008270
Suominen Oyj;SUY1V.HE;FI;RET;;FI0009010862
Tecnotree Oyj;TEM1V.HE;FI;TECH;;FI0009010227
Teleste Oyj;TLT1V.HE;FI;TECH;;FI0009007728
Trainers´ House Oyj;TRH1V.HE;FI;TECH;;FI4000390885
Tulikivi Oyj A;TULAV.HE;FI;IND;;FI0009900583
United Bankers Oyj;UNIAV.HE;FI;BAN;;FI4000081427
Plc Uutechnic Group Oyj;UUTEC.HE;FI;IND;;FI0009900708
Valoe Oyj;VALOE.HE;FI;IND;;FI0009006951
Wulff-Yhtiöt Oyj;WUF1V.HE;FI;IND;;FI0009008452
Yleiselektroniikka Oyj;YEINT.HE;FI;IND;;FI0009900724
